Location_ID,Start_Lat,Start_Lng,End_Lat,End_Lng
1,39.865147,-84.058723,,
2,39.92805900000001,-82.831184,,
3,39.063148,-84.032608,,
4,39.747753,-84.20558199999998,,
5,39.627781,-84.188354,,
6,40.10059,-82.92519399999998,,
7,39.758274,-84.23050699999997,,
8,39.770382,-84.194901,,
9,39.778061,-84.172005,,
10,39.952812,-83.119293,,
11,39.932709,-82.83091,,
12,39.737633,-84.14993299999998,,
13,39.79076,-84.241547,,
14,39.972038,-82.913521,,
15,39.745888,-84.17041,,
16,39.748329,-84.224007,,
17,39.752174,-84.239952,,
18,39.740669,-84.184135,,
19,39.790703,-84.244461,,
20,40.052509,-82.88233199999998,,
21,39.773346,-84.224686,,
22,39.628288,-84.226151,,
23,40.023487,-82.994888,,
24,39.761379,-84.25921600000002,,
25,40.158024,-82.641762,,
26,39.733219,-84.159653,,
27,39.775303,-84.200523,,
28,39.789322,-84.23910500000002,,
29,39.75872,-84.183762,,
30,40.081459,-83.122398,,
31,39.83321,-84.112946,,
32,40.042725,-82.99730699999998,,
33,39.974415,-82.848854,,
34,39.994766,-83.02449,,
35,40.006477,-83.030991,,
36,39.742062,-84.186996,,
37,39.843521,-82.78157,,
38,39.782578,-84.178688,,
39,40.007626,-82.912155,,
40,39.447502,-84.19120799999997,,
41,39.787731,-84.173439,,
42,39.426277,-83.624611,,
43,39.978306,-82.852554,,
44,39.84182,-84.18960600000003,,
45,39.953625,-82.958954,,
46,40.053082,-83.049644,,
47,39.936874,-82.878723,,
48,39.780643,-84.16349,,
49,39.773193,-84.187454,,
50,39.77858,-84.20468100000002,,
51,39.792988,-84.20607,,
52,39.976398,-83.119225,,
53,39.6395,-84.23136099999998,,
54,39.232578,-84.159286,,
55,39.746593,-84.23912,,
56,39.742783,-84.182472,,
57,39.75452,-84.159279,,
58,39.749916,-84.139359,,
59,40.100903,-82.98410799999998,,
60,39.77280800000001,-84.201851,,
61,39.492485,-84.131798,,
62,39.570904,-84.251724,,
63,39.834282,-82.74382,,
64,39.622787,-84.229858,,
65,39.429871,-84.079666,,
66,41.407391,-81.64676700000003,,
67,41.424404,-81.57867399999998,,
68,39.89217,-83.039169,,
69,41.022358,-83.650345,,
70,39.206806,-84.053253,,
71,39.973797,-83.022285,,
72,40.048008,-82.86421999999997,,
73,39.814526,-84.021744,,
74,40.151196,-84.22003199999997,,
75,39.954617,-82.844238,,
76,38.990551,-84.207497,,
77,40.008995,-83.002678,,
78,39.077332,-84.225014,,
79,39.955452,-82.795845,,
80,40.224586,-82.929085,,
81,39.98560300000001,-82.939247,,
82,41.040714,-81.61314399999998,,
83,41.083679,-81.579002,,
84,40.766891,-82.42411,,
85,41.422199,-81.843018,,
86,41.063995,-81.57294499999998,,
87,38.99408,-84.142021,,
88,41.420818,-81.694008,,
89,40.030342,-83.030197,,
90,39.858089,-82.827904,,
91,41.112324,-81.60992399999998,,
92,39.994061,-82.729416,,
93,41.355396,-81.81926700000002,,
94,39.687389,-84.23796800000002,,
95,39.751038,-84.214325,,
96,39.97509,-82.88460500000002,,
97,40.11195,-83.016663,,
98,41.424313,-81.57914,,
99,39.691864,-84.211166,,
100,39.769173,-84.20728299999998,,
101,39.874947,-83.003937,,
102,39.769596,-84.176964,,
103,39.776417,-84.23026999999998,,
104,39.64185,-84.227455,,
105,39.76028400000001,-84.196434,,
106,39.802528,-84.220093,,
107,39.828781,-84.19839499999998,,
108,39.733337,-84.180359,,
109,39.759426,-84.138367,,
110,39.78361500000001,-84.227531,,
111,39.74004,-84.194923,,
112,39.735199,-84.204948,,
113,39.749035,-84.20474200000002,,
114,39.969223,-82.984131,,
115,39.995369,-82.985085,,
116,39.744873,-84.205025,,
117,39.749786,-84.199493,,
118,39.780331,-84.195076,,
119,40.109928,-82.97820300000002,,
120,40.112156,-83.035072,,
121,39.871761,-82.933449,,
122,39.934517,-82.86065699999997,,
123,40.02404,-82.99479699999998,,
124,41.014015,-81.932777,,
125,40.575069,-82.528145,,
126,39.996578,-84.21680500000002,,
127,39.986324,-82.985458,,
128,40.013062,-82.90213,,
129,39.981709,-82.98436,,
130,39.953022,-82.99889399999998,,
131,39.973812,-82.983162,,
132,39.917412,-83.014236,,
133,39.469582,-83.712799,,
134,39.63958,-84.234818,,
135,39.975986,-82.996307,,
136,39.951401,-83.040161,,
137,39.96888,-83.022263,,
138,39.804295,-84.178917,,
139,39.831444,-84.097267,,
140,39.890587,-83.03538499999998,,
141,39.770977,-84.183914,,
142,39.808121,-84.173477,,
143,41.410461,-81.725853,,
144,39.94537,-82.88744399999999,,
145,39.79813,-84.24479699999998,,
146,40.081715,-82.89576,,
147,41.111031,-81.550728,,
148,40.082016,-82.937119,,
149,39.763363,-84.15535,,
150,39.740063,-84.191833,,
151,39.99876,-82.625221,,
152,39.99519,-82.86859100000002,,
153,41.395805,-81.935562,,
154,39.887058,-82.883263,,
155,39.824703,-83.141228,,
156,40.977516,-82.790749,,
157,41.150993,-81.631393,,
158,39.885872,-82.806198,,
159,40.09917100000001,-83.134499,,
160,40.012829,-83.109131,,
