Location_ID,Start_Lat,Start_Lng,End_Lat,End_Lng
1,39.92805900000001,-82.831184,0.0,0.0
2,39.063148,-84.032608,0.0,0.0
3,39.747753,-84.20558199999998,0.0,0.0
4,39.627781,-84.188354,0.0,0.0
5,40.10059,-82.92519399999998,0.0,0.0
6,39.758274,-84.23050699999997,0.0,0.0
7,39.770382,-84.194901,0.0,0.0
8,39.778061,-84.172005,0.0,0.0
9,39.952812,-83.119293,0.0,0.0
10,39.932709,-82.83091,0.0,0.0
11,39.737633,-84.14993299999998,0.0,0.0
12,39.79076,-84.241547,0.0,0.0
13,39.972038,-82.913521,0.0,0.0
14,39.745888,-84.17041,0.0,0.0
15,39.748329,-84.224007,0.0,0.0
16,39.752174,-84.239952,0.0,0.0
17,39.740669,-84.184135,0.0,0.0
18,39.790703,-84.244461,0.0,0.0
19,40.052509,-82.88233199999998,0.0,0.0
20,39.773346,-84.224686,0.0,0.0
21,39.628288,-84.226151,0.0,0.0
22,40.023487,-82.994888,0.0,0.0
23,39.761379,-84.25921600000002,0.0,0.0
24,40.158024,-82.641762,0.0,0.0
25,39.733219,-84.159653,0.0,0.0
26,39.775303,-84.200523,0.0,0.0
27,39.789322,-84.23910500000002,0.0,0.0
28,39.75872,-84.183762,0.0,0.0
29,40.081459,-83.122398,0.0,0.0
30,39.83321,-84.112946,0.0,0.0
31,40.042725,-82.99730699999998,0.0,0.0
32,39.974415,-82.848854,0.0,0.0
33,39.994766,-83.02449,0.0,0.0
34,40.006477,-83.030991,0.0,0.0
35,39.742062,-84.186996,0.0,0.0
36,39.843521,-82.78157,0.0,0.0
37,39.782578,-84.178688,0.0,0.0
38,40.007626,-82.912155,0.0,0.0
39,39.447502,-84.19120799999997,0.0,0.0
40,39.787731,-84.173439,0.0,0.0
41,39.426277,-83.624611,0.0,0.0
42,39.978306,-82.852554,0.0,0.0
43,39.84182,-84.18960600000003,0.0,0.0
44,39.953625,-82.958954,0.0,0.0
45,40.053082,-83.049644,0.0,0.0
46,39.936874,-82.878723,0.0,0.0
47,39.780643,-84.16349,0.0,0.0
48,39.773193,-84.187454,0.0,0.0
49,39.77858,-84.20468100000002,0.0,0.0
